Catalysed,催化的
Physician's,医师的
Doctor's,医生的
Specialist's,专家的
Abecedarian's,启蒙师的
Dabbler's,业余者的
Apprentice's,学徒的
Scholar's,学者的
Practitioner's,执业者的
Brewer's,酒师的
Investigator's,调查者的
Analyst's,分析家的
Examiner's,审查人的
Clinician's,临床师的
Delinquent's,失职者的
Transgressor's,违规者的
Sinner's,罪人的
Masochist's,受虐者的
Nitrate,硝酸盐的
Dolomite,白云石的
Kieserite,硝酸镁的
Kainite,钾盐镁的
Gypsum,石膏的
"of Bloodshed",赤痕之
"of Gore",淤痕之
"of Carnage",灭祸之
"of Butchery",战斗不息之
"of Diverting",趣味之
"of Depletion",耗损之
"of Tapping",摧毁之
"of Siphoning",虹吸之
"of the Falcon",猎鹰之
"of the Eagle",飞鹰之
"of the Dove",飞鸽之
"of the Albatross",信天翁之
"of the Hummingbird",蜂鸟之
"of the Horsefly",牛虻之
"of the Monkey",猿猴之
"of the Raccoon",浣熊之
"of the Crow",乌鸦之
"of Stinging",刺痛之
"of Piercing",刺穿之
"of Rupturing",破裂之
"of Penetrating",穿透之
"of Incision",手术之
"of Foisting",蒙骗之
"of Imposing",壮观之
"of Wreaking",泻怒之
"of Composure",沉着之
"of Surefootedness",稳当之
"of Persistence",持续之
"of Relentlessness",无情之
"of Tenaciousness",固执之
"of the Pupil",瞳孔之
"of the Initiate",新人之
"of the Mage",法师之
"of the Arcanist",奥术师之
"of the Sorcerer",术士之
"of the Rabbit",兔子之
"of the Cat",猫儿之
"of the Fox",狐狸之
"of the Sable",黑貂之
"of the Bear",熊之
"of the Plover",千鸟之
"of the Sandpiper",鹬之
"of the Cormorant",鸬鹚之
"of the Sanderling",三趾鹬之
"of the Heron",苍鹭之
"of the Petrel",海燕之
"of the Mockingbird",仿声鸟之
"of the Curlew",麻鹬之
"of the Kakapo",鸮鹦鹉之
"of the Owl",鸮之
"of the Orca",虎鲸之
"of the Sea Lion",海狮之
"of the Narwhal",独角鲸之
"of the Beluga",白鲸之
"of the Seal",海豹之
"of the Guppy",孔雀鱼之
"of the Goldfish",金鱼之
"of the Carp",鲤鱼之
"of the Catfish",鲇鱼之
"of the Sunfish",翻车鱼之
"of Tree Moss",树苔之
"of Turf Moss",地衣之
"of Tooth Moss",藓齿之
"of Plume Moss",灰藓之
"of Bog Moss",泥藓之
"of Interference",干涉之
"of Obstruction",阻挠之
"of Occlusion",闭收之
"of Restraint",抑束之
"of Movement",行动之
"of Motion",动机之
"of Freedom",自由之
"of Liberation",解放之
"of Abundance",丰收之
"of Plenty",充裕之
"of Bounty",猎者之
"of Incessance",本续之
"of Perenniality",四季之
"of Sealing",封闭之
"of Alleviation",缓减之
"of Allaying",消减之
"of Assuaging",宽慰之
"of Earthing",下地之
"of Insulation",隔绝之
"of the Dielectric",电介之
"of Convection",对流之
"of Thermodynamics",热学之
"of Entropy",乱世之
"of Thawing",熔解之
"of Damping",潮息之
"of Quashing",惩戒之
"of Quelling",镇定之
"of Quenching",淬息之
"of the Antitoxin",抗毒素之
"of the Remedy",补救之
"of the Cure",解药之
"of the Antidote",解毒之
"of the Skunk",臭鼬之
"of the Hedgehog",刺猬之
"of the Opossum",负鼠之
"of the Conger",鳗鱼之
"of the Moray",海鳝之
"of the Eel",鳝鱼之
"of the Deer",鹿之
"of the Walrus",海象之
"of the Penguin",企鹅之
"of the Urchin",山猬之
"of the Mussel",贻贝之
"of the Starfish",九头蛇之
"of the Lizard",蜥蜴之
"of the Skink",石龙子之
"of the Iguana",鬣蜥蜴之
"of Runegleaming",符光之
"of Runeshining",符烁之
"of Runeblazing",符耀之
