
"Acrimony","신랄"
"Anoint Elder Power","엘더의 힘 성유 붓기"
"Anoint Elemental Focus","원소 집중 성유 붓기"
"Anoint Empowered Bond","강화된 유대 성유 붓기"
"Anoint Endurance","인내 성유 붓기"
"Anoint Enduring Bond","인내의 유대 성유 붓기"
"Anoint Enigmatic Defence","수수께끼의 방어력 성유 붓기"
"Anoint Enigmatic Reach","수수께끼의 역량 성유 붓기"
"Anoint Entrench","견고화 성유 붓기"
"Anoint Entropy","엔트로피 성유 붓기"
"Anoint Escalation","증대자 성유 붓기"
"Anoint Essence Extraction","에센스 추출 성유 붓기"
"Anoint Essence Infusion","에센스 주입 성유 붓기"
"Anoint Essence Sap","정수 진액 성유 붓기"
"Anoint Essence Surge","에센스 쇄도 성유 붓기"
"Anoint Ethereal Feast","천상의 연회 성유 붓기"
"Anoint Exceptional Performance","특출난 솜씨 성유 붓기"
"Anoint Excess Sustenance","과잉 자양분 성유 붓기"
"Anoint Executioner","사형 집행자 성유 붓기"
"Anoint Expeditious Munitions","효율적인 탄약 성유 붓기"
"Anoint Expert Hunter","사냥 전문가 성유 붓기"
"Anoint Expertise","전문 지식 성유 붓기"
"Anoint Explosive Elements","폭발 원소 성유 붓기"
"Anoint Explosive Impact","폭발적인 충격 성유 붓기"
"Anoint Explosive Runes","폭발 룬 성유 붓기"
"Anoint Faith and Steel","신뢰와 강철 성유 붓기"
"Anoint Fangs of Frost","서리의 송곳니 성유 붓기"
"Anoint Fangs of the Viper","독사의 송곳니 성유 붓기"
"Anoint Farsight","멀리 보는 자 성유 붓기"
"Anoint Fatal Blade","치명적인 검 성유 붓기"
"Anoint Fatal Toxins","치명적인 독소 성유 붓기"
"Anoint Fearsome Force","무시무시한 힘 성유 붓기"
"Anoint Feller of Foes","적병 벌목자 성유 붓기"
"Anoint Fending","밀쳐내기 성유 붓기"
"Anoint Fervour","열정 성유 붓기"
"Anoint Field Medicine","야전 의술 성유 붓기"
"Anoint Finesse","수완 성유 붓기"
"Anoint Fingers of Frost","서리의 손가락 성유 붓기"
"Anoint Fire Walker","화염 보행자 성유 붓기"
"Anoint Flash Freeze","순간 동결 성유 붓기"
"Anoint Flaying","가죽 벗기기 성유 붓기"
"Anoint Fleetfoot","넓은 발 성유 붓기"
"Anoint Force Shaper","힘의 형성자 성유 붓기"
"Anoint Forceful Skewering","강력한 꿰뚫기 성유 붓기"
"Anoint Forces of Nature","자연의 힘 성유 붓기"
"Anoint Foresight","선견지명 성유 붓기"
"Anoint Forethought","원려 성유 붓기"
"Anoint Freedom of Movement","이동의 자유 성유 붓기"
"Anoint Frenetic","광란 성유 붓기"
"Anoint From the Shadows","어둠 속에서 성유 붓기"
"Anoint Frost Walker","서리 보행자 성유 붓기"
"Anoint Fury Bolts","광분의 화살 성유 붓기"
"Anoint Fusillade","일제 사격 성유 붓기"
"Anoint Galvanic Hammer","충격의 망치 성유 붓기"
"Anoint Glacial Cage","빙하 창살 성유 붓기"
"Anoint Gladiator's Perseverance","검투사의 인내 성유 붓기"
"Anoint Golem Commander","골렘을 부리는 자 성유 붓기"
"Anoint Golem's Blood","골렘의 피 성유 붓기"
"Anoint Goliath","골리앗 성유 붓기"
"Anoint Graceful Assault","우아한 공격 성유 붓기"
"Anoint Grave Intentions","무덤의 목적 성유 붓기"
"Anoint Gravepact","엄숙한 계약 성유 붓기"
"Anoint Growth and Decay","성장과 부패 성유 붓기"
"Anoint Hard Knocks","고난 성유 붓기"
"Anoint Hardened Scars","굳어진 흉터 성유 붓기"
"Anoint Harpooner","작살꾼 성유 붓기"
"Anoint Harrier","해리어 성유 붓기"
"Anoint Harvester of Foes","적병 수확자 성유 붓기"
"Anoint Hatchet Master","손도끼의 대가 성유 붓기"
"Anoint Heart and Soul","심장과 영혼 성유 붓기"
"Anoint Heart of Darkness","어둠의 심장 성유 붓기"
"Anoint Heart of Flame","화염의 심장 성유 붓기"
"Anoint Heart of Ice","얼음의 심장 성유 붓기"
"Anoint Heart of Oak","오크의 심장 성유 붓기"
"Anoint Heart of Thunder","천둥의 심장 성유 붓기"
"Anoint Heart of the Warrior","전사의 심장 성유 붓기"
"Anoint Heartseeker","심장 노리기 성유 붓기"
"Anoint Hearty","원기 왕성 성유 붓기"
"Anoint Heavy Draw","묵직한 당기기 성유 붓기"
"Anoint Hematophagy","흡혈 성유 붓기"
"Anoint Herbalism","약초학 성유 붓기"
"Anoint High Explosives","고성능 폭약 성유 붓기"
"Anoint High Voltage","고전압 성유 붓기"
"Anoint Hired Killer","청부살인자 성유 붓기"
"Anoint Holy Dominion","신성한 지배력 성유 붓기"
"Anoint Holy Fire","신성한 불꽃 성유 붓기"
"Anoint Hunter's Gambit","사냥꾼의 책략 성유 붓기"
"Anoint Indomitable Army","불굴의 군단 성유 붓기"
"Anoint Inexorable","준엄 성유 붓기"
"Anoint Influence","영향력 성유 붓기"
"Anoint Infused Flesh","주입된 육체 성유 붓기"
"Anoint Infused","주입 성유 붓기"
"Anoint Insightfulness","통찰력 성유 붓기"
"Anoint Inspiring Bond","기운 나는 유대 성유 붓기"
"Anoint Instability","불안정 성유 붓기"
"Anoint Instinct","본능 성유 붓기"
"Anoint Intuition","직관 성유 붓기"
"Anoint Inveterate","고질적 성유 붓기"
"Anoint Invigorating Blaze","활기를 주는 불길 성유 붓기"
"Anoint Ironwood","철목 성유 붓기"
"Anoint Juggernaut","저거넛 성유 붓기"
"Anoint Kinetic Impacts","역학 충격 성유 붓기"
"Anoint King of the Hill","언덕의 왕 성유 붓기"
"Anoint Last Rites","최후의 의식 성유 붓기"
"Anoint Lava Lash","용암 채찍 성유 붓기"
"Anoint Leadership","통솔력 성유 붓기"
"Anoint Lethality","치명상 성유 붓기"
"Anoint Life Raker","생명 채집자 성유 붓기"
"Anoint Light Eater","빛 포식자 성유 붓기"
"Anoint Light of Divinity","신성의 빛 성유 붓기"
"Anoint Lightning Walker","번개 보행자 성유 붓기"
"Anoint Longshot","원거리 사격 성유 붓기"
"Anoint Lord of the Dead","망자의 군주 성유 붓기"
"Anoint Lust for Carnage","학살의 욕망 성유 붓기"
"Anoint Magmatic Strikes","마그마성 일격 성유 붓기"
"Anoint Malicious Intent","불순한 의도 성유 붓기"
"Anoint Mana Flows","마나의 흐름 성유 붓기"
"Anoint Mark the Prey","사냥감 징표 찍기 성유 붓기"
"Anoint Marked for Death","죽음의 징표 성유 붓기"
"Anoint Martial Experience","무도 경험 성유 붓기"
"Anoint Master Fletcher","화살 숙련가 성유 붓기"
"Anoint Master Sapper","일급 공병 성유 붓기"
"Anoint Master of Blades","칼날의 대가 성유 붓기"
"Anoint Master of the Arena","투기장의 대가 성유 붓기"
"Anoint Measured Fury","계획적인 광분 성유 붓기"
"Anoint Melding","융합 성유 붓기"
"Anoint Mental Rapidity","신속한 정신 성유 붓기"
"Anoint Merciless Skewering","무자비한 꿰뚫기 성유 붓기"
"Anoint Might","완력 성유 붓기"
"Anoint Mind Drinker","정신 흡수자 성유 붓기"
"Anoint Multishot","다중 사격 성유 붓기"
"Anoint Mystic Bulwark","신비한 방벽 성유 붓기"
"Anoint Mystic Talents","신비한 재능 성유 붓기"
"Anoint Mysticism","신비주의 성유 붓기"
"Anoint Natural Authority","타고난 권위 성유 붓기"
"Anoint Natural Remedies","자연 요법 성유 붓기"
"Anoint Nightstalker","밤추적자 성유 붓기"
"Anoint Nimbleness","기민함 성유 붓기"
"Anoint One With Nature","자연과의 일체화 성유 붓기"
"Anoint One with the River","강에 선 사람 성유 붓기"
"Anoint Overcharge","과충전 성유 붓기"
"Anoint Overcharged","과충전 성유 붓기"
"Anoint Overprepared","준비 과다 성유 붓기"
"Anoint Pain Forger","거짓 고통 성유 붓기"
"Anoint Panopticon","원형 감옥 성유 붓기"
"Anoint Path of the Hunter","사냥꾼의 길 성유 붓기"
"Anoint Path of the Savant","학자의 길 성유 붓기"
"Anoint Path of the Warrior","전사의 길 성유 붓기"
"Anoint Perfectionist","완벽주의자 성유 붓기"
"Anoint Persistence","지속성 성유 붓기"
"Anoint Physique","체격 성유 붓기"
"Anoint Piercing Shots","관통 사격 성유 붓기"
"Anoint Poisonous Fangs","독성 송곳니 성유 붓기"
"Anoint Potency of Will","의지의 잠재력 성유 붓기"
"Anoint Potent Connections","위력적인 연결 성유 붓기"
"Anoint Powerful Bond","강력한 유대 성유 붓기"
"Anoint Practical Application","현실적 응용 성유 붓기"
"Anoint Precision","정밀함 성유 붓기"
"Anoint Presage","흉조 성유 붓기"
"Anoint Primal Manifestation","원시의 현신 성유 붓기"
"Anoint Primal Spirit","원시 혼백 성유 붓기"
"Anoint Primeval Force","원시적인 힘 성유 붓기"
"Anoint Prism Weave","빛의 매듭 성유 붓기"
"Anoint Prismatic Skin","분광 피부 성유 붓기"
"Anoint Prodigal Perfection","사치스러운 마무리 성유 붓기"
"Anoint Profane Chemistry","부정한 반응 성유 붓기"
"Anoint Proficiency","숙달 성유 붓기"
"Anoint Prowess","기량 성유 붓기"
"Anoint Purity of Flesh","육체의 정화 성유 붓기"
"Anoint Quick Recovery","빠른 회복 성유 붓기"
"Anoint Quickstep","빠른 걸음 성유 붓기"
"Anoint Rampart","성벽 성유 붓기"
"Anoint Ravenous Horde","굶주린 패거리 성유 붓기"
"Anoint Razor's Edge","예리한 날 성유 붓기"
"Anoint Redemption","구원 성유 붓기"
"Anoint Reflexes","반사신경 성유 붓기"
"Anoint Relentless Pursuit","집요한 추적 성유 붓기"
"Anoint Relentless","집요 성유 붓기"
"Anoint Replenishing Remedies","회복 요법 성유 붓기"
"Anoint Resourcefulness","지략 성유 붓기"
"Anoint Retaliation","보복 성유 붓기"
"Anoint Retribution","응징 성유 붓기"
"Anoint Revelry","환락 성유 붓기"
"Anoint Revenge of the Hunted","사냥감의 복수 성유 붓기"
"Anoint Ribcage Crusher","흉골 분쇄자 성유 붓기"
"Anoint Righteous Army","정의의 군대 성유 붓기"
"Anoint Righteous Decree","정의로운 법령 성유 붓기"
"Anoint Righteous Fury","정의로운 광분 성유 붓기"
"Anoint Robust","왕성함 성유 붓기"
"Anoint Runesmith","룬 제작자 성유 붓기"
"Anoint Saboteur","사보추어 성유 붓기"
"Anoint Sacrifice","희생 성유 붓기"
"Anoint Safeguard","방비 성유 붓기"
"Anoint Sanctity","존엄성 성유 붓기"
"Anoint Sanctuary","성역 성유 붓기"
"Anoint Sanctum of Thought","사상의 지성소 성유 붓기"
"Anoint Savage Wounds","야만적인 상처 성유 붓기"
"Anoint Savagery","야만성 성유 붓기"
"Anoint Searing Heat","이글거리는 열기 성유 붓기"
"Anoint Season of Ice","얼음의 계절 성유 붓기"
"Anoint Seasoned Swordplay","노련한 검술 성유 붓기"
"Anoint Sentinel","파수꾼 성유 붓기"
"Anoint Serpent Stance","독사의 자세 성유 붓기"
"Anoint Serpentine Spellslinger","구불거리는 주문투척 성유 붓기"
"Anoint Settling Ash","내려앉는 재 성유 붓기"
"Anoint Shaman's Dominion","주술사의 지배 성유 붓기"
"Anoint Shamanistic Fury","주술사의 광분 성유 붓기"
"Anoint Shaper","쉐이퍼 성유 붓기"
"Anoint Silent Steps","은밀한 발걸음 성유 붓기"
"Anoint Skittering Runes","달리는 룬 문자 성유 붓기"
"Anoint Skull Cracking","해골 부수기 성유 붓기"
"Anoint Slaughter","살육 성유 붓기"
"Anoint Sleight of Hand","교묘한 손재주 성유 붓기"
"Anoint Smashing Strikes","박살내는 일격 성유 붓기"
"Anoint Snowforged","눈의 대장간 성유 붓기"
"Anoint Soul Siphon","영혼 착취 성유 붓기"
"Anoint Soul Thief","영혼 도둑 성유 붓기"
"Anoint Soul of Steel","강철의 영혼 성유 붓기"
"Anoint Sovereignty","주권 성유 붓기"
"Anoint Spiked Bulwark","가시 방벽 성유 붓기"
"Anoint Spinecruncher","척추 접기 성유 붓기"
"Anoint Spirit Void","혼백 비우기 성유 붓기"
"Anoint Spiritual Aid","혼백의 도움 성유 붓기"
"Anoint Spiritual Command","혼백의 명령 성유 붓기"
"Anoint Split Shot","분할 사격 성유 붓기"
"Anoint Stamina","지구력 성유 붓기"
"Anoint Static Blows","정전기 타격 성유 붓기"
"Anoint Steadfast","요지부동 성유 붓기"
"Anoint Steelwood Stance","강철목 자세 성유 붓기"
"Anoint Steeped in the Profane","부정에 대한 몰입 성유 붓기"
"Anoint Storm Weaver","태풍술사 성유 붓기"
"Anoint Strong Arm","튼튼한 팔 성유 붓기"
"Anoint Successive Detonations","연이은 폭발 성유 붓기"
"Anoint Surge of Vigour","쇄도하는 활력 성유 붓기"
"Anoint Surveillance","파수 성유 붓기"
"Anoint Survivalist","생존주의자 성유 붓기"
"Anoint Swagger","활보 성유 붓기"
"Anoint Swift Venoms","즉발성 맹독 성유 붓기"
"Anoint Taste for Blood","피의 갈증 성유 붓기"
"Anoint Tempest Blast","폭풍 강타 성유 붓기"
"Anoint Tenacity","참을성 성유 붓기"
"Anoint Testudo","귀갑 방패 성유 붓기"
"Anoint Thick Skin","두꺼운 가죽 성유 붓기"
"Anoint Thief's Craft","도둑의 술책 성유 붓기"
"Anoint Thrill Killer","살인마 성유 붓기"
"Anoint Throatseeker","숨통 노리기 성유 붓기"
"Anoint Tireless","끈기 성유 붓기"
"Anoint Titanic Impacts","거대한 충격 성유 붓기"
"Anoint Tolerance","내성 성유 붓기"
"Anoint Totemic Zeal","토템의 열의 성유 붓기"
"Anoint Toxic Strikes","맹독성 일격 성유 붓기"
"Anoint Tranquility","고요함 성유 붓기"
"Anoint Trial of the Faith","신념의 시험 성유 붓기"
"Anoint Tribal Fury","부족의 광분 성유 붓기"
"Anoint Trick Shot","기교 사격 성유 붓기"
"Anoint Trickery","계략 성유 붓기"
"Anoint True Strike","정확한 일격 성유 붓기"
"Anoint Twin Terrors","쌍수의 공포 성유 붓기"
"Anoint Undertaker","장의사 성유 붓기"
"Anoint Unfaltering","단호함 성유 붓기"
"Anoint Unnatural Calm","기이한 고요 성유 붓기"
"Anoint Unstable Munitions","불안정한 탄약 성유 붓기"
"Anoint Utmost Intellect","극에 이른 지능 성유 붓기"
"Anoint Utmost Might","극에 이른 힘 성유 붓기"
"Anoint Utmost Swiftness","극에 이른 속도 성유 붓기"
"Anoint Vampirism","흡혈 성유 붓기"
"Anoint Vanquisher","격퇴자 성유 붓기"
"Anoint Vengeant Cascade","빗발치는 응징 성유 붓기"
"Anoint Versatility","융통성 성유 붓기"
"Anoint Veteran Soldier","역전 용사 성유 붓기"
"Anoint Vigour","활력 성유 붓기"
"Anoint Vitality Void","활력 비우기 성유 붓기"
"Anoint Void Barrier","공허 방어막 성유 붓기"
"Anoint Volatile Mines","폭발성 지뢰 성유 붓기"
"Anoint Wandslinger","마법봉 투척가 성유 붓기"
"Anoint Warrior Training","전사 훈련 성유 붓기"
"Anoint Warrior's Blood","전사의 피 성유 붓기"
"Anoint Wasting","소모성 성유 붓기"
"Anoint Watchtowers","감시 포탑 성유 붓기"
"Anoint Way of the Warrior","전사의 길 성유 붓기"
"Anoint Weapon Artistry","무기의 예술성 성유 붓기"
"Anoint Weathered Hunter","풍파에 시달린 사냥꾼 성유 붓기"
"Anoint Whirling Barrier","소용돌이 방어막 성유 붓기"
"Anoint Whispers of Doom","멸망의 속삭임 성유 붓기"
"Anoint Will of Blades","칼날의 의지 성유 붓기"
"Anoint Window of Opportunity","기회의 창 성유 붓기"
"Anoint Winter Spirit","겨울의 혼백 성유 붓기"
"Anoint Winter's Embrace","겨울의 포옹 성유 붓기"
"Anoint Wisdom of the Glade","숲의 지혜 성유 붓기"
"Anoint Wrecking Ball","파괴구 성유 붓기"
"Anoint Written in Blood","혈서 성유 붓기"
"Anointed Flesh","기름 부은 살"
"Anointing Acrimony changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 신랄 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Acrimony changes nothing because this node is already anointed.","이 노드에는 이미 신랄 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Acrimony changes nothing.","신랄 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Acrimony will give you","신랄 성유를 부으면 다음 효과를 제공"
"Anointing Acuity changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 예민함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Acuity changes nothing because this node is already anointed.","이 노드에는 이미 예민함 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Acuity changes nothing.","예민함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Acuity will give you","예민함 성유를 부으면 다음 효과를 제공"
"Anointing Adamant changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 견고한 의지 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Adamant changes nothing because this node is already anointed.","이 노드에는 이미 견고한 의지 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Adamant changes nothing.","견고한 의지 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Adamant will give you","견고한 의지 성유를 부으면 다음 효과를 제공"
"Anointing Adder's Touch changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 살무사의 접촉 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Adder's Touch changes nothing because this node is already anointed.","이 노드에는 이미 살무사의 접촉 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Adder's Touch changes nothing.","살무사의 접촉 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Adder's Touch will give you","살무사의 접촉 성유를 부으면 다음 효과를 제공"
"Anointing Adjacent Animosity changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 근처의 적개심 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Adjacent Animosity changes nothing because this node is already anointed.","이 노드에는 이미 근처의 적개심 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Adjacent Animosity changes nothing.","근처의 적개심 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Adjacent Animosity will give you","근처의 적개심 성유를 부으면 다음 효과를 제공"
"Anointing Admonisher changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 꾸짖는 자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Admonisher changes nothing because this node is already anointed.","이 노드에는 이미 꾸짖는 자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Admonisher changes nothing.","꾸짖는 자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Admonisher will give you","꾸짖는 자 성유를 부으면 다음 효과를 제공"
"Anointing Aggressive Bastion changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 공격적인 보루 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Aggressive Bastion changes nothing because this node is already anointed.","이 노드에는 이미 공격적인 보루 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Aggressive Bastion changes nothing.","공격적인 보루 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Aggressive Bastion will give you","공격적인 보루 성유를 부으면 다음 효과를 제공"
"Anointing Agility changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 민첩함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Agility changes nothing because this node is already anointed.","이 노드에는 이미 민첩함 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Agility changes nothing.","민첩함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Agility will give you","민첩함 성유를 부으면 다음 효과를 제공"
"Anointing Alacrity changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 기민성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Alacrity changes nothing because this node is already anointed.","이 노드에는 이미 기민성 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Alacrity changes nothing.","기민성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Alacrity will give you","기민성 성유를 부으면 다음 효과를 제공"
